tech,ETL,Data Warehouse,Data Transformation,BI,Exploratory Data Analysis,one,total
Micro strategy,0.0,0.0,0.0,1.0,0.0,1,2.0
Mode,0.0,0.0,0.0,2.0,4.0,1,7.0
Mssql,0.0,1.0,0.0,0.0,0.0,1,2.0
Ms sql onprem,0.0,1.0,0.0,0.0,0.0,1,2.0
Not sure,0.0,0.0,0.0,0.0,6.0,1,7.0
Oracle,0.0,1.0,0.0,0.0,0.0,1,2.0
Orchestrated airflow,1.0,0.0,0.0,0.0,0.0,1,2.0
Packages integrations,1.0,0.0,0.0,0.0,0.0,1,2.0
Periscope,0.0,0.0,0.0,1.0,0.0,1,2.0
Plain sql,0.0,0.0,0.0,0.0,1.0,1,2.0
Postgres aws rds,0.0,7.0,0.0,0.0,0.0,1,8.0
Powerbi,0.0,0.0,2.0,99.0,2.0,2,105.0
Pysftp,1.0,0.0,0.0,0.0,0.0,1,2.0
Pyspark,0.0,0.0,2.0,0.0,1.0,1,4.0
Python,13.0,0.0,24.0,1.0,17.0,1,56.0
Qlik,0.0,0.0,0.0,5.0,2.0,1,8.0
Qlik cdc,1.0,0.0,0.0,0.0,0.0,1,2.0
Qliksense,0.0,0.0,0.0,6.0,0.0,1,7.0
Query tibco tables gui,0.0,0.0,0.0,1.0,0.0,1,2.0
R,0.0,0.0,0.0,0.0,4.0,1,5.0
Redshift,0.0,5.0,0.0,0.0,0.0,1,6.0
Redshift sql,0.0,0.0,1.0,0.0,0.0,1,2.0
Reverse etl  census,2.0,0.0,0.0,0.0,0.0,1,3.0
Sap business objects,0.0,0.0,0.0,1.0,0.0,1,2.0
Sap data services,1.0,0.0,0.0,0.0,0.0,1,2.0
Sisense,0.0,0.0,0.0,2.0,0.0,1,3.0
Snowflake,0.0,90.0,7.0,0.0,9.0,1,107.0
Snowflake adhoc queries,0.0,0.0,0.0,0.0,3.0,1,4.0
Spark,6.0,0.0,8.0,0.0,0.0,1,15.0
Sql,2.0,0.0,12.0,0.0,10.0,1,25.0
Sql code git,0.0,0.0,1.0,0.0,0.0,1,2.0
Sql server,0.0,0.0,0.0,0.0,1.0,1,2.0
Sql server prem,0.0,40.0,0.0,0.0,0.0,1,41.0
Sql stored procedures,0.0,0.0,33.0,0.0,0.0,1,34.0
Sql usually airflow,0.0,0.0,1.0,0.0,0.0,1,2.0
Sqoop,4.0,0.0,0.0,0.0,0.0,1,5.0
Ssis,35.0,0.0,7.0,0.0,0.0,1,43.0
Stitch,32.0,0.0,0.0,0.0,0.0,1,33.0
Tableau,0.0,0.0,0.0,19.0,7.0,1,27.0
Talend,2.0,0.0,2.0,0.0,0.0,1,5.0
T sql,1.0,0.0,0.0,0.0,0.0,1,2.0
Typhoon orchestrator,2.0,0.0,0.0,0.0,0.0,1,3.0
Using webfocus nquire,0.0,0.0,0.0,1.0,0.0,1,2.0
Versioned schemas nice,0.0,0.0,1.0,0.0,0.0,1,2.0
We transform bigquery 95   elt approach,0.0,0.0,5.0,0.0,0.0,1,6.0
Yuck,0.0,0.0,0.0,1.0,0.0,1,2.0
